"Reference","Footprint","Manufacturer_Part_Number"
"R31,R32,R34,R35,R39,R40,R42,R43,R65,R66,R68,R69,R73,R74,R76,R77,R113,R114,R123,R124,R133,R134,R143,R144","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"," ERJP06F3001V"
"R36,R37,R44,R45,R70,R71,R78,R79,R121,R122,R131,R132,R141,R142,R151,R152,R171,R176","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","RCC120649R9FKEA"
"R38,R46,R72,R80,R115,R116,R117,R118,R125,R126,R127,R128,R135,R136,R137,R138,R145,R146,R147,R148","Resistor_SMD:R_1206_3216Metric","CRCW12061K00FKEAHP"
"R81,R82,R83,R84,R86,R87,R88,R89","Resistor_SMD:R_1206_3216Metric"," CRCW1206220RFKEAHP"
"R85,R90,R91,R92,R93,R94,R95,R96,R104,R105,R106,R107,R108,R109,R110,R111,R112,R187,R188,R189,R190,R191,R192,R193,R194","22 Resistor:ERJP08__1206_","ERJ-P08D22R0V"
"R153,R154,R155,R156","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","RA73F1J7K5BTDF"
"R157,R158,R159,R162","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"," CRCW12065K60FKEAHP"
"R160,R161,R163,R164","Capacitor_SMD:C_1210_3225Metric","HP0707F3600T5E "
"R167,R168","Capacitor_SMD:C_1206_3216Metric","1206W4F220KT5E"
"R169,R174","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","ESR18EZPF5113"
"R170,R175","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"," ERJ-P06D1000V"
"R173","9k Resistor:RESC3116X65N","RT1206BRD079KL"
"R178","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder"," CRH2010F220RE04Z"
"R179,R181","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","ERJ-PB6B2942V"
"R180,R182","3.3k Resistor:ERJS08_U08__1206_","ERJ-S08F3301V"
"S4","Buttons and Switches:TS026670BK100SCRD","TS02-66-70-BK-100-SCR-D"
