Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R169,511k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,257.7338,-92.5699,-90,top
R170,105k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,252.3678,-81.3939,180,top
R171,49.9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,247.5478,-86.3469,180,top
R172,100k,R_1206_3216Metric,255.2948,-86.4739,180,top
R173,9k,RESC3116X65N,261.6178,-86.3469,0,top
R174,511k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,257.8608,-64.2714,-90,top
R175,105k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,251.3838,-54.6354,0,top
R176,49.9,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,249.3678,-57.6834,180,top
R177,100k,R_1206_3216Metric,257.1998,-57.9374,180,top
R178,13.3k,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,265.3668,-58.0644,0,top
R179,29.4k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,244.2718,-125.2474,180,top
R180,3.3k,ERJS08_U08__1206_,249.3518,-123.5434,90,top
R181,29.4k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,257.4958,-45.8724,180,top
R182,3.3k,ERJS08_U08__1206_,263.0678,-44.0609,90,top
R183,121,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,62.9158,-57.6834,180,top
R184,845,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.7296,-54.61,-90,top
R185,845,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.9658,-57.9374,0,top
R186,121,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,78.2568,-57.8104,0,top
R187,22,ERJP08__1206_,27.2288,-126.0856,-90,top
R188,22,ERJP08__1206_,22.3012,-126.0683,-90,top
R189,22,ERJP08__1206_,24.638,-116.9416,-90,top
R190,22,ERJP08__1206_,60.2488,-125.6306,-90,top
R191,22,ERJP08__1206_,14.4272,-116.8908,-90,top
R192,22,ERJP08__1206_,17.0688,-126.1872,-90,top
R193,22,ERJP08__1206_,19.558,-116.8886,-90,top
R194,22,ERJP08__1206_,57.6072,-116.7914,-90,top
R195,10k,R_1206_3216Metric,120.7917,-53.467,0,top
R196,10k,R_1206_3216Metric,215.7222,-49.8455,90,top
R197,10k,R_1206_3216Metric,65.5066,-82.7278,90,top
R198,10k,R_1206_3216Metric,153.6192,-85.6742,90,top
R199,10k,R_1206_3216Metric,209.6262,-32.004,-90,top
U1,PCM1789PWR,SOP65P640X120-24N,41.7068,-68.3768,180,top
U2,PCM1789PWR,SOP65P640X120-24N,105.08,-68.3768,180,top
U3,PCM1789PWR,SOP65P640X120-24N,170.8656,-43.7706,180,top
